bmoa,447632454,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
bnhv,447760326,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,red-dp,TnT-Admin,,,,,,,,,,,,,,,,,,,,,
bnio,481941134,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
bohc,1022271507,1432000513,domain_users,Wed Jul  9 13:28:32 +0000 2025,domain_users,dna_aws_hpc,ad_jira_red,,,,,,,,,,,,,,,,,,,,,,
brbt,1432132045,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
bry,1022247474,1432000513,domain_users,Tue Jul 15 09:13:00 +0000 2025,domain_users,dna_aws_hpc,rdd,AntibodyDesign,,,,,,,,,,,,,,,,,,,,,
bsck,856610372,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,liver_biology_colab,OMERO-Users,,,,,,,,,,,,,,,,,,,,
bsde,1003060511,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,step_genetics,,,,,,,,,,,,,,,,,,,,,,
bsoz,447648969,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,red-dp,TnT-Admin,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,
btaq,856722848,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
bwah,1348627767,1432000513,domain_users,Mon Aug  4 12:51:39 +0000 2025,domain_users,rstudio-admins,dept105,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,
bzgz,1562237861,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
caku,1562222898,1432000513,domain_users,Wed Jul 30 12:10:18 +0000 2025,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
cbjb,945475770,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
cbpy,856782322,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
ceua,1022200587,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,datahub-genetics-ukb53639,,,,,,,,,,,,,,,,,,,,,
cinu,856701758,1432000513,domain_users,**Never logged in**,domain_users,cdd,ad_jira_red,dna_aws_hpc,nn_bdas_reader,REDDP_READER_P,,,,,,,,,,,,,,,,,,,
cltd,206904012,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,edison,,,,,,,,,,,,,,,,,,,,,,
cnqi,1022200568,1432000513,domain_users,Fri Jul 25 12:13:11 +0000 2025,domain_users,dept105,genetics_ukb53639,ad_jira_red,dna_aws_hpc,nnrco,datahub-genetics-ukb53639,,,,,,,,,,,,,,,,,,
cpdm,1348744710,1432000513,domain_users,**Never logged in**,domain_users,isoseq_dicerna_compbio,sysbiotarget,ad_jira_red,dna_aws_hpc,liver_biology_colab,nnrco,red-dp,REDDP_READER_P,seqplat_ws_scrnaseq,vascular_spatial_atlas,datahub-aidr-arc-ctc-tahoe100-reader,,,,,,,,,,,,,
cpjb,856711416,1432000513,domain_users,Mon Jul 14 20:12:11 +0000 2025,domain_users,dna_aws_hpc,rdd,REDDP_READER_P,aintibody,,,,,,,,,,,,,,,,,,,,
csoz,1022200529,1432000513,domain_users,**Never logged in**,domain_users,mi,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
ctqs,206915632,1432000513,domain_users,**Never logged in**,domain_users,mi,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
cvin,1432010725,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
cvli,856747529,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
cvlz,856711479,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,gnat_sysbio,seqplat_ws_GNAT,REDDP_READER_P,,,,,,,,,,,,,,,,,,,
cvwj,1562237935,1432000513,domain_users,Wed Jul 30 06:33:45 +0000 2025,domain_users,dna_aws_hpc,nlp_rag,,,,,,,,,,,,,,,,,,,,,,
cvzl,573569341,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,gnat_sysbio,REDDP_READER_P,NAR_SysBio_VisiumHD,,,,,,,,,,,,,,,,,,,
cvzr,573498531,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
cxrh,481875554,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
cyem,981278790,1432000513,domain_users,Wed Jul 23 15:02:28 +0000 2025,domain_users,dept105,ukb_proteomics,genetics_ukb65851,Backman2021_WES,ukb_wes,genetics_ukb53639,ad_jira_red,dna_aws_hpc,nnrco,step_genetics,datahub-dept105,REDDP_READER_P,,,,,,,,,,,,
cylf,1022249207,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
cyqj,447745421,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
czjs,1562297329,1432000513,domain_users,**Never logged in**,domain_users,dept105,isoseq_dicerna_compbio,sysbiotarget,genetics_ukb53639,dna_aws_hpc,nnrco,mlobesity,,,,,,,,,,,,,,,,,
